	SRR6924534	SRR6924535	SRR6924536	SRR6924547	SRR6924548	SRR6924549
gene:Bcin01g03780	1320	1386	1008	1202	1106	876
gene:Bcin01g03790	2504	2856	2100	2690	2832	2057
gene:Bcin01g03800	0	0	0	1	1	0
gene:Bcin01g03810	335	330	260	178	359	214
gene:Bcin01g03820	12787	14004	11046	1695	3486	2144
gene:Bcin01g03830	1533	1576	1479	1730	1255	1124
gene:Bcin01g03840	790	883	681	702	504	460
gene:Bcin01g03850	9	8	5	17	15	5
gene:Bcin01g03860	321	408	325	963	756	567
gene:Bcin01g03890	668	664	474	263	497	258
gene:Bcin01g03900	86	111	46	7	69	24
gene:Bcin01g03910	91	120	53	21	103	67
gene:Bcin01g03920	6	5	8	4	6	0
gene:Bcin01g03930	99	78	109	44	29	38
gene:Bcin01g03940	11701	13213	9447	89	110	95
gene:Bcin01g03950	1298	1244	1068	1484	2374	1503
gene:Bcin01g03960	6	2	3	17	5	4
gene:Bcin01g03970	1	5	0	2	4	1
gene:Bcin01g03980	1	0	0	1	3	0
gene:Bcin01g03990	0	0	0	0	0	1
gene:Bcin01g04000	23	31	14	25	19	14
gene:Bcin01g04010	468	496	485	511	445	358
gene:Bcin01g04020	475	592	461	438	441	381
gene:Bcin01g04030	222	317	218	408	398	322
gene:Bcin01g04040	538	594	476	427	387	355
gene:Bcin01g04050	222	246	213	281	258	203
gene:Bcin01g04060	222	262	236	107	99	87
gene:Bcin01g04070	533	598	476	541	480	302
gene:Bcin01g04080	1228	1360	1162	881	918	787
gene:Bcin01g04090	497	494	380	848	644	525
gene:Bcin01g04100	437	427	421	609	627	393
gene:Bcin01g04110	3	3	2	3	3	2
gene:Bcin01g04120	21	41	19	38	26	20
gene:Bcin01g04130	1641	1857	1089	1005	1148	879
gene:EFBcG00000013150	0	0	0	0	0	0
gene:ENSRNA049534843	0	0	0	0	0	0
gene:Bcin01g04140	6	1	5	3	0	2
gene:Bcin01g04150	35	40	11	4	13	3
gene:Bcin01g04160	448	465	402	367	266	276
gene:Bcin01g04170	235	283	300	426	269	282
gene:Bcin01g04180	94	115	106	158	108	98
gene:Bcin01g04190	0	0	0	0	0	0
gene:Bcin01g04200	0	0	0	0	0	0
gene:Bcin01g04210	10	11	7	13	6	8
gene:Bcin01g04220	25	40	12	12	40	33
gene:Bcin01g04230	1935	1548	3276	7073	4950	3177
gene:Bcin01g04240	946	791	902	571	1250	420
gene:Bcin01g04250	15	21	14	13	30	8
gene:Bcin01g04260	1119	1285	1012	1662	1250	1115
gene:Bcin01g04270	2209	2424	1771	1078	1515	1044
gene:Bcin01g04280	1921	2294	1639	1436	1907	1327
gene:Bcin01g04290	13	10	4	16	7	17
gene:Bcin01g04300	474	516	433	460	334	292
gene:Bcin01g04310	365	422	391	1218	1405	951
gene:Bcin01g04320	6	7	6	32	42	18
gene:Bcin01g04330	9	9	4	26	18	23
gene:Bcin01g04340	4309	4232	5666	11745	7650	6552
gene:Bcin01g04350	868	1042	906	1121	702	679
gene:Bcin01g04360	851	1016	893	991	728	647
gene:Bcin01g04370	769	853	846	1131	1021	784
gene:Bcin01g04380	1484	1626	1507	1997	2340	1338
gene:Bcin01g04390	273	241	295	345	448	337
gene:Bcin01g04400	4	0	3	0	0	2
gene:Bcin01g04410	7	11	13	15	19	15
gene:Bcin01g04420	7	5	0	17	15	5
gene:Bcin01g04430	0	1	0	2	4	0
gene:Bcin01g04440	1381	1581	1313	1231	933	864
gene:Bcin01g04450	18	38	15	43	31	6
gene:Bcin01g04460	352	347	293	441	299	227
gene:Bcin01g04470	280	338	284	568	513	343
gene:EFBcG00000013096	0	0	0	2	1	0
gene:Bcin01g04480	338	366	312	1901	3660	910
gene:Bcin01g04490	417	536	385	434	379	372
gene:Bcin01g04500	15	13	19	73	49	61
